Conflict: Account, Time: 35.48 seconds
Conflict: Animal, Time: 34.48 seconds
Conflict: ArrayChange, Time: 34.55 seconds
Conflict: BankAccount, Time: 35.81 seconds
Conflict: Book, Time: 35.16 seconds
Conflict: Calculator, Time: 35.38 seconds
Conflict: Car, Time: 34.78 seconds
Conflict: ComplexPerson, Time: 35.20 seconds
Conflict: Concatenation, Time: 33.85 seconds
Conflict: Condition, Time: 34.17 seconds
Conflict: Counter, Time: 33.86 seconds
Conflict: Example, Time: 34.26 seconds
Conflict: HelloMessage, Time: 33.90 seconds
Conflict: MathOperations, Time: 34.17 seconds
Conflict: Message, Time: 33.84 seconds
Conflict: Numbers, Time: 34.19 seconds
Conflict: Order, Time: 35.74 seconds
Conflict: Person, Time: 33.54 seconds
Conflict: Printer, Time: 33.59 seconds
Conflict: ShoppingCart, Time: 34.79 seconds
Conflict: PaymentProcessor, Time: 33.86 seconds
Conflict: UserAccount, Time: 34.25 seconds
Conflict: TemperatureConverter, Time: 33.90 seconds
Conflict: Movie, Time: 34.66 seconds
Conflict: GameController, Time: 33.58 seconds
Conflict: NotificationSender, Time: 34.93 seconds
Conflict: Product, Time: 35.48 seconds
Conflict: Inventory, Time: 35.22 seconds
Conflict: FileHandler, Time: 35.59 seconds
Conflict: OrderManager, Time: 36.29 seconds
Conflict: Incrementer, Time: 34.75 seconds
Conflict: DiscountCalculator, Time: 34.56 seconds
Conflict: ArrayPrinter, Time: 34.57 seconds
Conflict: LoginValidator, Time: 34.30 seconds
Conflict: PasswordChecker, Time: 33.74 seconds
Conflict: TransactionManager, Time: 34.37 seconds
Conflict: SumCalculator, Time: 33.95 seconds
Conflict: FactorialCalculator, Time: 34.18 seconds
Conflict: CircleAreaCalculator, Time: 33.86 seconds
Conflict: Countdown, Time: 34.12 seconds
