Conflict: Account, Time: 35.08 seconds
Conflict: Animal, Time: 34.86 seconds
Conflict: ArrayChange, Time: 34.55 seconds
Conflict: BankAccount, Time: 35.54 seconds
Conflict: Book, Time: 35.28 seconds
Conflict: Calculator, Time: 35.22 seconds
Conflict: Car, Time: 34.63 seconds
Conflict: ComplexPerson, Time: 35.35 seconds
Conflict: Concatenation, Time: 33.87 seconds
Conflict: Condition, Time: 34.07 seconds
Conflict: Counter, Time: 33.82 seconds
Conflict: Example, Time: 33.79 seconds
Conflict: HelloMessage, Time: 33.84 seconds
Conflict: MathOperations, Time: 34.40 seconds
Conflict: Message, Time: 33.87 seconds
Conflict: Numbers, Time: 34.06 seconds
Conflict: Order, Time: 35.85 seconds
Conflict: Person, Time: 33.98 seconds
Conflict: Printer, Time: 33.59 seconds
Conflict: ShoppingCart, Time: 34.86 seconds
Conflict: PaymentProcessor, Time: 33.88 seconds
Conflict: UserAccount, Time: 34.34 seconds
Conflict: TemperatureConverter, Time: 34.30 seconds
Conflict: Movie, Time: 33.91 seconds
Conflict: GameController, Time: 34.02 seconds
Conflict: NotificationSender, Time: 33.94 seconds
Conflict: Product, Time: 35.22 seconds
Conflict: Inventory, Time: 34.42 seconds
Conflict: FileHandler, Time: 34.16 seconds
Conflict: OrderManager, Time: 34.40 seconds
Conflict: Incrementer, Time: 34.07 seconds
Conflict: DiscountCalculator, Time: 34.56 seconds
Conflict: ArrayPrinter, Time: 34.44 seconds
Conflict: LoginValidator, Time: 34.29 seconds
Conflict: PasswordChecker, Time: 33.75 seconds
Conflict: TransactionManager, Time: 34.38 seconds
Conflict: SumCalculator, Time: 34.02 seconds
Conflict: FactorialCalculator, Time: 34.07 seconds
Conflict: CircleAreaCalculator, Time: 33.74 seconds
Conflict: Countdown, Time: 34.02 seconds
