Conflict: Account, Time: 35.16 seconds
Conflict: Animal, Time: 34.29 seconds
Conflict: ArrayChange, Time: 34.28 seconds
Conflict: BankAccount, Time: 35.56 seconds
Conflict: Book, Time: 35.18 seconds
Conflict: Calculator, Time: 35.52 seconds
Conflict: Car, Time: 34.66 seconds
Conflict: ComplexPerson, Time: 35.34 seconds
Conflict: Concatenation, Time: 33.99 seconds
Conflict: Condition, Time: 35.31 seconds
Conflict: Counter, Time: 35.93 seconds
Conflict: Example, Time: 36.00 seconds
Conflict: HelloMessage, Time: 34.53 seconds
Conflict: MathOperations, Time: 34.57 seconds
Conflict: Message, Time: 34.07 seconds
Conflict: Numbers, Time: 33.99 seconds
Conflict: Order, Time: 35.70 seconds
Conflict: Person, Time: 34.09 seconds
Conflict: Printer, Time: 33.92 seconds
Conflict: ShoppingCart, Time: 35.02 seconds
Conflict: PaymentProcessor, Time: 34.44 seconds
Conflict: UserAccount, Time: 35.39 seconds
Conflict: TemperatureConverter, Time: 34.45 seconds
Conflict: Movie, Time: 33.91 seconds
Conflict: GameController, Time: 33.51 seconds
Conflict: NotificationSender, Time: 37.83 seconds
Conflict: Product, Time: 35.36 seconds
Conflict: Inventory, Time: 34.46 seconds
Conflict: FileHandler, Time: 34.78 seconds
Conflict: OrderManager, Time: 34.88 seconds
Conflict: Incrementer, Time: 34.28 seconds
Conflict: DiscountCalculator, Time: 34.71 seconds
Conflict: ArrayPrinter, Time: 34.60 seconds
Conflict: LoginValidator, Time: 34.11 seconds
Conflict: PasswordChecker, Time: 34.51 seconds
Conflict: TransactionManager, Time: 34.98 seconds
Conflict: SumCalculator, Time: 34.10 seconds
Conflict: FactorialCalculator, Time: 34.21 seconds
Conflict: CircleAreaCalculator, Time: 34.25 seconds
Conflict: Countdown, Time: 36.21 seconds
