Conflict: Account, Time: 38.89 seconds
Conflict: Animal, Time: 38.46 seconds
Conflict: ArrayChange, Time: 38.01 seconds
Conflict: BankAccount, Time: 38.67 seconds
Conflict: Book, Time: 38.65 seconds
Conflict: Calculator, Time: 38.89 seconds
Conflict: Car, Time: 38.24 seconds
Conflict: ComplexPerson, Time: 38.96 seconds
Conflict: Concatenation, Time: 37.94 seconds
Conflict: Condition, Time: 38.04 seconds
Conflict: Counter, Time: 38.10 seconds
Conflict: Example, Time: 37.75 seconds
Conflict: HelloMessage, Time: 37.71 seconds
Conflict: MathOperations, Time: 38.44 seconds
Conflict: Message, Time: 38.09 seconds
Conflict: Numbers, Time: 38.31 seconds
Conflict: Order, Time: 39.71 seconds
Conflict: Person, Time: 37.62 seconds
Conflict: Printer, Time: 38.11 seconds
Conflict: ShoppingCart, Time: 38.79 seconds
Conflict: PaymentProcessor, Time: 38.52 seconds
Conflict: UserAccount, Time: 38.46 seconds
Conflict: TemperatureConverter, Time: 38.31 seconds
Conflict: Movie, Time: 38.08 seconds
Conflict: GameController, Time: 38.47 seconds
Conflict: NotificationSender, Time: 38.19 seconds
Conflict: Product, Time: 38.67 seconds
Conflict: Inventory, Time: 38.21 seconds
Conflict: FileHandler, Time: 37.84 seconds
Conflict: OrderManager, Time: 38.58 seconds
Conflict: Incrementer, Time: 38.71 seconds
Conflict: DiscountCalculator, Time: 39.62 seconds
Conflict: ArrayPrinter, Time: 40.79 seconds
Conflict: LoginValidator, Time: 39.04 seconds
Conflict: PasswordChecker, Time: 38.54 seconds
Conflict: TransactionManager, Time: 39.20 seconds
Conflict: SumCalculator, Time: 38.77 seconds
Conflict: FactorialCalculator, Time: 38.54 seconds
Conflict: CircleAreaCalculator, Time: 38.00 seconds
Conflict: Countdown, Time: 38.12 seconds
