Conflict: Account, Time: 37.35 seconds
Conflict: Animal, Time: 36.49 seconds
Conflict: ArrayChange, Time: 37.13 seconds
Conflict: BankAccount, Time: 38.00 seconds
Conflict: Book, Time: 37.05 seconds
Conflict: Calculator, Time: 37.64 seconds
Conflict: Car, Time: 38.55 seconds
Conflict: ComplexPerson, Time: 37.32 seconds
Conflict: Concatenation, Time: 35.90 seconds
Conflict: Condition, Time: 36.07 seconds
Conflict: Counter, Time: 35.72 seconds
Conflict: Example, Time: 35.80 seconds
Conflict: HelloMessage, Time: 35.55 seconds
Conflict: MathOperations, Time: 36.38 seconds
Conflict: Message, Time: 35.65 seconds
Conflict: Numbers, Time: 35.95 seconds
Conflict: Order, Time: 37.77 seconds
Conflict: Person, Time: 35.57 seconds
Conflict: Printer, Time: 35.74 seconds
Conflict: ShoppingCart, Time: 36.85 seconds
Conflict: PaymentProcessor, Time: 37.01 seconds
Conflict: UserAccount, Time: 36.69 seconds
Conflict: TemperatureConverter, Time: 36.16 seconds
Conflict: Movie, Time: 35.65 seconds
Conflict: GameController, Time: 35.56 seconds
Conflict: NotificationSender, Time: 36.21 seconds
Conflict: Product, Time: 36.67 seconds
Conflict: Inventory, Time: 36.15 seconds
Conflict: FileHandler, Time: 35.76 seconds
Conflict: OrderManager, Time: 36.26 seconds
Conflict: Incrementer, Time: 36.58 seconds
Conflict: DiscountCalculator, Time: 36.58 seconds
Conflict: ArrayPrinter, Time: 36.22 seconds
Conflict: LoginValidator, Time: 35.90 seconds
Conflict: PasswordChecker, Time: 36.32 seconds
Conflict: TransactionManager, Time: 37.00 seconds
Conflict: SumCalculator, Time: 36.52 seconds
Conflict: FactorialCalculator, Time: 36.43 seconds
Conflict: CircleAreaCalculator, Time: 36.45 seconds
Conflict: Countdown, Time: 36.72 seconds
